poster_nick,polemica_nick,user_id,profile_url,mmr,city,region,fed_events,fed_scores,fed_top1,fed_top3,fed_top10,date_from,date_to,achievements_count,achievements,error,slice,slice_label,game_type,games,wins,winrate,points,extra_points,avg_score,avg_extra_score,first_killed,first_killed_pct,fouls,tech_fouls,best_move_points,civilian_games,civilian_wins,civilian_winrate,civilian_points,civilian_extra_points,civilian_avg_score,civilian_avg_extra_score,civilian_first_killed,civilian_first_killed_pct,civilian_fouls,civilian_tech_fouls,civilian_best_move_points,sheriff_games,sheriff_wins,sheriff_winrate,sheriff_points,sheriff_extra_points,sheriff_avg_score,sheriff_avg_extra_score,sheriff_first_killed,sheriff_first_killed_pct,sheriff_fouls,sheriff_tech_fouls,sheriff_best_move_points,mafia_games,mafia_wins,mafia_winrate,mafia_points,mafia_extra_points,mafia_avg_score,mafia_avg_extra_score,mafia_first_killed,mafia_first_killed_pct,mafia_fouls,mafia_tech_fouls,mafia_best_move_points,don_games,don_wins,don_winrate,don_points,don_extra_points,don_avg_score,don_avg_extra_score,don_first_killed,don_first_killed_pct,don_fouls,don_tech_fouls,don_best_move_points,scoring_1_games,scoring_1_wins,scoring_1_winrate,scoring_1_points,scoring_1_extra_points,scoring_1_avg_score,scoring_1_avg_extra_score,scoring_1_first_killed,scoring_1_first_killed_pct,scoring_1_fouls,scoring_1_tech_fouls,scoring_1_best_move_points,scoring_2_games,scoring_2_wins,scoring_2_winrate,scoring_2_points,scoring_2_extra_points,scoring_2_avg_score,scoring_2_avg_extra_score,scoring_2_first_killed,scoring_2_first_killed_pct,scoring_2_fouls,scoring_2_tech_fouls,scoring_2_best_move_points,scoring_3_games,scoring_3_wins,scoring_3_winrate,scoring_3_points,scoring_3_extra_points,scoring_3_avg_score,scoring_3_avg_extra_score,scoring_3_first_killed,scoring_3_first_killed_pct,scoring_3_fouls,scoring_3_tech_fouls,scoring_3_best_move_points,protocol_mafia_games,first_vote_games,first_vote_no_vote,first_vote_civilian,first_vote_sheriff,first_vote_own_mafia,first_vote_own_don,first_vote_own_black,first_vote_self,first_vote_pct_civilian,first_vote_pct_sheriff,first_vote_pct_own_mafia,first_vote_pct_own_don,first_vote_pct_own_black,first_vote_pct_red_town,civ_games,civ_first_vote_civilian,civ_first_vote_don,civ_first_vote_mafia,civ_first_vote_black,civ_first_vote_self,civ_first_vote_pct_sheriff,civ_first_vote_pct_civilian,civ_first_vote_pct_black,protocol_black_games,protocol_don_games,speech_games_with_foul,speech_fouls,speech_on_black,speech_on_red,speech_on_self,speech_on_don,speech_on_mafia,speech_on_civilian,speech_on_sheriff,speech_pct_on_black,speech_pct_on_red,sheriff_n1_checked_mafia,sheriff_n1_pct_on_mafia
Саня запчасти,саня запчасти,41582,https://polemicagame.com/profile/41582,,,,5,30.4,0,0,2,2026-01-01,2026-08-27,3,Первый шаг; Победный дебют; Проверенный черный,,offline_tournament,Оффлайн турниры,competition,71,31,43.7,44.7,20.0,0.63,0.28,3,4.2,0,0,1.0,47,18,38.3,26.4,11.4,0.56,0.24,3,6.4,0,0,1.0,9,3,33.3,5.4,3.3,0.6,0.37,0,0.0,0,0,0.0,11,7,63.6,8.6,3.4,0.78,0.31,0,0.0,0,0,0.0,4,3,75.0,4.3,1.9,1.07,0.48,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,71,31,43.7,44.7,20.0,0.63,0.28,3,4.2,0,0,1.0,11,11,0,9,0,0,2,2,0,81.8,0.0,0.0,18.2,18.2,81.8,47,26,6,10,16,0,4.5,59.1,36.4,15,4,10,16,2,14,0,1,1,13,1,12.5,87.5,0,0.0
Фартушная,Фартушная,1302,https://polemicagame.com/profile/1302,,Санкт-Петербург ,RU,3,74.6,0,1,1,2026-01-01,2026-08-27,0,,,offline_tournament,Оффлайн турниры,competition,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2,46,20,43.5,24.9,10.9,0.54,0.24,12,26.1,0,0,4.5,7,6,85.7,7.2,3.0,1.03,0.43,1,14.3,0,0,0.7,12,5,41.7,6.4,2.9,0.53,0.24,0,0.0,0,0,0.0,5,5,100.0,5.8,2.3,1.16,0.46,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,70,36,51.4,44.3,19.1,0.63,0.27,13,18.6,0,0,5.2,12,12,0,10,0,0,2,2,0,83.3,0.0,0.0,16.7,16.7,83.3,46,13,5,13,18,2,2.9,38.2,52.9,17,5,15,27,5,22,0,1,4,20,2,18.5,81.5,1,8.3
Белладонна,Белладонна,84683,https://polemicagame.com/profile/84683,,,,10,130.0,1,2,2,2026-01-01,2026-08-27,0,,,offline_tournament,Оффлайн турниры,competition,162,89,54.9,123.05,48.7,0.76,0.3,33,20.4,1,1,10.8,93,44,47.3,62.9,26.05,0.68,0.28,30,32.3,0,0,9.3,22,15,68.2,21.75,9.75,0.99,0.44,3,13.6,0,0,1.5,31,19,61.3,25.2,8.9,0.81,0.29,0,0.0,0,0,0.0,16,11,68.8,13.2,4.0,0.83,0.25,0,0.0,1,1,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,162,89,54.9,123.05,48.7,0.76,0.3,33,20.4,1,1,10.8,31,31,0,20,2,5,2,7,2,64.5,6.5,16.1,6.5,22.6,71.0,93,30,13,15,28,1,4.8,48.4,45.2,46,15,39,74,14,60,0,4,10,47,13,18.9,81.1,2,6.5
Ластхиро,Ластхиро,343,https://polemicagame.com/profile/343,,Санкт-Петербург,RU,8,189.6,0,1,4,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,offline_tournament,Оффлайн турниры,competition,143,71,49.7,96.0,42.7,0.67,0.3,19,13.3,1,1,4.6,72,28,38.9,41.75,20.95,0.58,0.29,17,23.6,1,1,4.0,22,14,63.6,19.45,9.05,0.88,0.41,2,9.1,0,0,0.6,41,24,58.5,28.6,10.3,0.7,0.25,0,0.0,0,0,0.0,8,5,62.5,6.2,2.4,0.77,0.3,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,143,71,49.7,96.0,42.7,0.67,0.3,19,13.3,1,1,4.6,41,41,0,31,2,4,3,7,1,75.6,4.9,9.8,7.3,17.1,80.5,72,17,16,18,34,1,5.5,30.9,61.8,49,8,37,68,8,59,1,4,4,52,7,11.9,88.1,4,9.8
avomarika,avomarika,60805,https://polemicagame.com/profile/60805,,Санкт-Петербург,RU,12,226.0,0,1,4,2026-01-01,2026-08-27,5,Миротворец; Первый шаг; Победный дебют; Проверенный черный; Путь мафиози,,offline_tournament,Оффлайн турниры,competition,172,86,50.0,112.9,49.0,0.66,0.28,15,8.7,4,4,4.0,109,49,45.0,65.7,29.3,0.6,0.27,15,13.8,1,1,4.0,8,3,37.5,5.7,3.85,0.71,0.48,0,0.0,2,2,0.0,39,23,59.0,28.65,11.3,0.73,0.29,0,0.0,0,0,0.0,16,11,68.8,12.85,4.55,0.8,0.28,0,0.0,1,1,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,172,86,50.0,112.9,49.0,0.66,0.28,15,8.7,4,4,4.0,39,39,0,22,7,7,2,9,1,56.4,17.9,17.9,5.1,23.1,74.4,108,43,20,26,46,1,2.2,46.7,50.0,55,16,28,40,8,31,1,3,5,23,8,20.5,79.5,6,15.4
Д. Колбасенко,Данил_Колбасенко,88950,https://polemicagame.com/profile/88950,,,,14,221.7,1,3,4,2026-01-01,2026-08-27,6,Миротворец; Первый шаг; Победный дебют; Последний Герой; Проверенный черный; Путь мафиози,,offline_tournament,Оффлайн турниры,competition,177,87,49.2,110.7,46.25,0.63,0.26,7,4.0,1,1,2.6,100,39,39.0,50.85,23.0,0.51,0.23,7,7.0,1,1,2.6,15,6,40.0,10.15,5.65,0.68,0.38,0,0.0,0,0,0.0,41,26,63.4,30.8,10.5,0.75,0.26,0,0.0,0,0,0.0,21,16,76.2,18.9,7.1,0.9,0.34,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,177,87,49.2,110.7,46.25,0.63,0.26,7,4.0,1,1,2.6,41,41,0,25,2,6,7,13,1,61.0,4.9,14.6,17.1,31.7,65.9,100,29,19,29,48,3,14.0,31.2,51.6,62,21,57,117,19,96,2,7,12,84,12,16.5,83.5,7,17.1
Алёна,Alena78,23794,https://polemicagame.com/profile/23794,,Санкт-Петербург,RU,8,146.4,0,0,2,2026-01-01,2026-08-27,4,Миротворец; Первый шаг; Победный дебют; Проверенный черный,,offline_tournament,Оффлайн турниры,competition,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9,79,27,34.2,36.55,17.05,0.46,0.22,13,16.5,0,0,4.2,16,6,37.5,10.1,5.9,0.63,0.37,1,6.2,0,0,0.7,31,22,71.0,26.2,10.2,0.85,0.33,0,0.0,0,0,0.0,13,9,69.2,10.4,4.1,0.8,0.32,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,139,64,46.0,83.25,37.25,0.6,0.27,14,10.1,0,0,4.9,30,30,0,21,4,2,1,3,2,70.0,13.3,6.7,3.3,10.0,83.3,79,27,14,21,35,0,6.1,40.9,53.0,43,13,32,58,12,45,1,3,9,35,10,21.1,78.9,3,10.0
Лиса,Лисa,86129,https://polemicagame.com/profile/86129,,,RU,11,216.7,0,0,5,2026-01-01,2026-08-27,2,Первый шаг; Победный дебют,,offline_tournament,Оффлайн турниры,competition,188,92,48.9,123.15,53.35,0.66,0.28,24,12.8,0,0,7.2,111,50,45.0,67.3,29.3,0.61,0.26,19,17.1,0,0,6.0,21,6,28.6,11.45,6.95,0.55,0.33,5,23.8,0,0,1.2,34,25,73.5,29.8,10.5,0.88,0.31,0,0.0,0,0,0.0,22,11,50.0,14.6,6.6,0.66,0.3,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,188,92,48.9,123.15,53.35,0.66,0.28,24,12.8,0,0,7.2,34,34,0,19,5,6,3,9,1,55.9,14.7,17.6,8.8,26.5,70.6,111,50,8,24,32,1,9.8,54.3,34.8,56,22,30,48,8,38,2,3,5,36,2,17.4,82.6,4,11.8
Вега,Вега,74136,https://polemicagame.com/profile/74136,,,,8,202.1,1,2,4,2026-01-01,2026-08-27,4,Миротворец; Первый шаг; Победный дебют; Проверенный черный,,offline_tournament,Оффлайн турниры,competition,188,103,54.8,137.6,55.7,0.73,0.3,23,12.2,2,2,8.6,123,57,46.3,78.75,32.65,0.64,0.27,20,16.3,1,1,7.5,17,8,47.1,12.25,5.75,0.72,0.34,3,17.6,1,1,1.1,28,22,78.6,26.0,9.1,0.93,0.33,0,0.0,0,0,0.0,20,16,80.0,20.6,8.2,1.03,0.41,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,188,103,54.8,137.6,55.7,0.73,0.3,23,12.2,2,2,8.6,28,25,3,15,3,2,4,6,1,60.0,12.0,8.0,16.0,24.0,72.0,123,32,15,32,47,1,5.9,37.6,55.3,48,20,24,35,7,27,1,0,7,25,2,20.6,79.4,6,21.4
Axeon,Axeon,81057,https://polemicagame.com/profile/81057,,,,15,202.4,0,1,4,2026-01-01,2026-08-27,0,,,offline_tournament,Оффлайн турниры,competition,256,99,38.7,128.8,56.7,0.5,0.22,7,2.7,0,0,2.0,141,41,29.1,55.6,25.4,0.39,0.18,6,4.3,0,0,1.6,27,8,29.6,15.2,9.3,0.56,0.34,1,3.7,0,0,0.4,54,30,55.6,32.6,11.5,0.6,0.21,0,0.0,0,0,0.0,34,20,58.8,25.4,10.5,0.75,0.31,0,0.0,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,0,0,,0.0,0.0,,,0,,0,0,0.0,256,99,38.7,128.8,56.7,0.5,0.22,7,2.7,0,0,2.0,53,50,3,27,11,3,9,12,0,54.0,22.0,6.0,18.0,24.0,76.0,140,60,14,42,56,2,3.3,49.2,45.9,87,34,48,74,15,57,2,3,12,56,1,20.8,79.2,11,20.8
